accesorials_sale,accesorials_cost,cliente,carrier,name,origin,destination,distance,vehicle_type,height_change,division,creation_date,delivery_date,sale
0.0,0.0,Cliente 1,Carrier 3,Eduardo Chaim,"Zapopan,  Jalisco","Franklin Park,  Illinois",2777.086700540599,DryVan 53,-1434.8343200683594,Crossborder,2025-04-21,2025-05-08,111832.0
0.0,0.0,Cliente 60,Carrier 106,Luis Navarro,"San Nicolás de los Garza,  Nuevo León","Laredo,  Texas",209.91248424421687,DryVan 53,-367.33982849121094,Crossborder,2024-12-10,2024-12-16,17127.5
0.0,0.0,Cliente 102,Carrier 3,Marco Martínez,"Urbana,  Ohio","San Nicolás Tlazala,  Estado de México",2764.237843863753,DryVan 53,2267.3344116210938,Crossborder,2025-04-25,2025-05-12,74404.0
1.0,0.0,Cliente 150,Carrier 196,Jessica Hernández,"Naucalpan de Juárez,  Estado de México","Wauwatosa,  Wisconsin",2824.133353611965,DryVan 53,-2063.7801971435547,Crossborder,2025-12-30,2026-01-21,112312.5
0.0,0.0,Cliente 106,Carrier 152,Luis Navarro,"Tepatitlán de Morelos,  Jalisco","Laredo,  Texas",813.4516418585754,DryVan 53,-1689.3907012939453,Crossborder,2025-05-15,2025-05-19,42592.0
0.0,0.0,Cliente 79,Carrier 152,Eduardo Chaim,"Querétaro,  Querétaro","Laredo,  Texas",774.0799893868688,DryVan 53,-1686.8664093017574,Crossborder,2025-06-20,2025-06-25,37225.5
0.0,0.0,Cliente 8,Carrier 196,Juan Rojas,"Ixtapaluca,  Estado de México","Russellville,  Kentucky",2274.1519773308764,DryVan 53,-2061.9651641845703,Crossborder,2025-04-07,2025-04-24,123000.0
1.0,1.0,Cliente 100,Carrier 117,Blanca Rodríguez,"Cuernavaca,  Morelos","Iowa,  Louisiana",1405.070692428573,DryVan 53,-1507.504005432129,Crossborder,2025-11-24,2025-12-22,87258.4
0.0,0.0,Cliente 127,Carrier 1,Jessica Hernández,"San Luis Potosí,  San Luis Potosí","Oklahoma City,  Oklahoma",1518.188743264285,DryVan 53,-1500.8930358886719,Crossborder,2026-01-07,2026-01-14,53910.0
0.0,0.0,Cliente 1,Carrier 3,Eduardo Chaim,"Zapopan,  Jalisco","Oakwood,  Georgia",2438.7488537336644,DryVan 53,-1278.5425109863281,Crossborder,2025-07-11,2025-07-25,102465.0
1.0,1.0,Cliente 49,Carrier 8,Eduardo Chaim,"Ciudad de México,  Ciudad de México","Atlanta,  Georgia",2159.1632347530585,DryVan 53,-1912.0397644042969,Crossborder,2025-10-17,2025-11-05,100886.8
0.0,0.0,Cliente 60,Carrier 290,Juan Rojas,"San Nicolás de los Garza,  Nuevo León","Laredo,  Texas",209.91248424421687,DryVan 53,-367.33982849121094,Crossborder,2026-02-05,2026-02-12,15561.0
